cn,pinyin,vocabulary,pinyin_vocab,th,id1,sentence_test,translate
看,kàn,看见," kàn jiàn ",เห็น,101,我看见小猫在睡觉,ฉันเห็นลูกแมวกำลังนอนหลับ
会,huì,会飞," huì fēi ",บินได้,102,小鸟会飞到天空,นกตัวเล็กบินขึ้นไปบนท้องฟ้าได้
自,zì,自己," zì jǐ ",ตัวเอง,103,我自己穿衣服,ฉันแต่งตัวด้วยตัวเอง
己,jǐ,自己," zì jǐ ",ตัวเอง,104,他自己整理书包,เขาจัดกระเป๋านักเรียนด้วยตัวเอง
画,huà,画画," huà huà ",วาดรูป,105,妹妹喜欢画画,น้องสาวชอบวาดรูป
好,hǎo,好吃," hǎo chī ",อร่อย,106,这个蛋糕很好吃,เค้กชิ้นนี้อร่อยมาก
爱,ài,关爱," guān ài ",ดูแลด้วยความรัก,107,妈妈关爱孩子,แม่ดูแลเอาใจใส่ลูก
心,xīn,开心," kāi xīn ",มีความสุข,108,我今天很开心,วันนี้ฉันมีความสุขมาก
也,yě,也是," yě shì ",ก็เป็น/ด้วย,109,我也是学生,ฉันก็เป็นนักเรียนเหมือนกัน
可,kě,可乐," kě lè",โคล่า,110,我想喝可乐,ฉันอยากดื่มโคล่า
家,jiā,回家,"huí jiā ",กลับบ้าน,111,放学后我要回家,หลังเลิกเรียนฉันจะกลับบ้าน
爸,bà,爸爸," bà bà ",คุณพ่อ,112,爸爸在工作,พ่อกำลังทำงาน
妈,mā,妈妈," mā mā ",คุณแม่,113,妈妈在做饭,แม่กำลังทำอาหาร
这,zhè,这里," zhè lǐ ",ที่นี่,114,我在这里等你,ฉันรอคุณอยู่ที่นี่
爷,yé,爷爷," yé ye",คุณปู่,115,爷爷在看书,คุณปู่กำลังอ่านหนังสือ
奶,nǎi,奶奶," nǎi nai ",คุณย่า,116,奶奶喜欢种花,คุณย่าชอบปลูกดอกไม้
们,mén,我们," wǒ mén ",พวกเรา,117,我们一起学习,พวกเราเรียนด้วยกัน
书,shū,书架," shū jià ",ชั้นวางหนังสือ,118,书在书架上,หนังสืออยู่บนชั้นหนังสือ
串,chuàn,一串," yī chuàn ",หนึ่งไม้/หนึ่งชุด,119,桌上有一串葡萄,บนโต๊ะมีองุ่นหนึ่งพวง
球,qiú,足球," zú qiú ",ฟุตบอล,120,我喜欢踢足球,ฉันชอบเตะฟุตบอล
圆,yuán,圆形," yuán xíng ",วงกลม,121,这个球是圆形,ลูกบอลลูกนี้เป็นทรงกลม
形,xíng,图形," tú xíng ",รูปทรง,122,老师教我们图形,ครูสอนพวกเราเรื่องรูปทรง
长,cháng,好长," hǎo cháng ",ยาวมาก,123,这条路好长,ถนนเส้นนี้ยาวมาก
方,fāng,长方形," cháng fāng xíng ",สี่เหลี่ยมผืนผ้า,124,门是长方形的,ประตูเป็นรูปสี่เหลี่ยมผืนผ้า
正,zhèng,立正," lì zhèng ",ยืนตรง,125,我们排队立正,พวกเราเข้าแถวและยืนตรง
角,jiǎo,牛角," niú jiǎo ",เขาวัว,126,牛角长在头上,เขาวัวงอกอยู่บนหัว
灯,dēng,灯光," dēng guāng ",แสงไฟ,127,夜晚的灯光很亮,แสงไฟยามค่ำคืนสว่างมาก
块,kuài,土块," tǔ kuài ",ก้อนดิน,128,地上有小土块,บนพื้นมีก้อนดินเล็ก ๆ
冰,bīng,冰雪," bīng xuě ",หิมะน้ำแข็ง,129,冬天有冰雪,ฤดูหนาวมีน้ำแข็งและหิมะ
那,nà,那边," nà biān",ตรงนั้น,130,学校在那边,โรงเรียนอยู่ทางนั้น
弓,gōng,弓箭,"gōng jiàn ",ธนูและลูกศร,131,他画了一把弓箭,เขาวาดคันธนูหนึ่งอัน
买,mǎi,买东西," mǎi dōng xī ",ซื้อของ,132,妈妈去买东西,แม่ไปซื้อของ
哪,nǎ,哪里," nǎ lǐ ",ที่ไหน,133,你住在哪里,คุณอาศัยอยู่ที่ไหน
乐,lè,快乐," kuài lè ",มีความสุข,134,孩子们很快乐,เด็ก ๆ มีความสุขมาก
谢,xiè,感谢," gǎn xiè ",ขอบคุณ,135,我感谢老师,ฉันขอบคุณครู
想,xiǎng,想象," xiǎng xiàng ",จินตนาการ,136,我喜欢想象故事,ฉันชอบจินตนาการเรื่องราว
抱,bào,抱一抱," bào yī bào ",กอดกัน,137,妈妈抱一抱我,แม่กอดฉัน
竹,zhú,竹子," zhú zǐ ",ไม้ไผ่,138,熊猫爱吃竹子,แพนด้าชอบกินไผ่
要,yào,想要," xiǎng yào ",อยากได้,139,我想要新书,ฉันอยากได้หนังสือใหม่
立,lì,立正," lì zhèng ",ยืนตรง,140,大家站好立正,ทุกคนยืนตรงให้เรียบร้อย
耳,ěr,耳朵," ěr duǒ ",ใบหู,141,小兔子有长耳朵,กระต่ายน้อยมีหูยาว
红,hóng,红色," hóng sè ",สีแดง,142,苹果是红色的,แอปเปิลเป็นสีแดง
色,sè,白色," bái sè ",สีขาว,143,云是白色的,เมฆเป็นสีขาว
吃,chī,吃饭," chī fàn ",รับประทานอาหาร,144,我们一起吃饭,พวกเรากินข้าวด้วยกัน
香,xiāng,香味," xiāng wèi ",กลิ่นหอม,145,厨房有香味,ในครัวมีกลิ่นหอม
穿,chuān,穿过," chuān guò ",ผ่านไป,146,小猫穿过小路,ลูกแมวเดินผ่านทางเล็ก ๆ
身,shēn,身体," shēn tǐ ",ร่างกาย,147,运动对身体好,การออกกำลังกายดีต่อร่างกาย
它,tā,它们," tā mén ",พวกมัน,148,它们在一起玩,พวกมันเล่นด้วยกัน
发,fā,头发," tóu fā ",เส้นผม,149,她的头发很长,ผมของเธอยาวมาก
衣,yī,衣服," yī fú",เสื้อผ้า,150,衣服要洗干净,เสื้อผ้าต้องซักให้สะอาด
他,tā,他们,"tā mén ",พวกเขา (ผู้ชาย),151,他们在踢球,พวกเขากำลังเตะบอล
她,tā,她们,"tā mén ",พวกเธอ (ผู้หญิง),152,她们在唱歌,พวกเธอกำลังร้องเพลง
毛,máo,毛毛虫,"máo máo chóng ",หนอนผีเสื้อ,153,毛毛虫在叶子上,หนอนผีเสื้ออยู่บนใบไม้
朋,péng,朋友,"péng yǒu ",เพื่อน,154,他是我的朋友,เขาเป็นเพื่อนของฉัน
友,yǒu,友好,"yǒu hǎo ",มิตรภาพ,155,大家要友好相处,ทุกคนควรอยู่ร่วมกันอย่างเป็นมิตร
哥,gē,哥哥,gē ge,พี่ชาย,156,哥哥会写字,พี่ชายเขียนหนังสือได้
第,dì,弟弟,dì di,น้องชาย,157,弟弟在玩球,น้องชายกำลังเล่นบอล
兄,xiōng,兄弟,"xiōng dì ",พี่น้องผู้ชาย,158,他们是兄弟,พวกเขาเป็นพี่น้องกัน
眉,méi,眉毛," méi máo ",คิ้ว,159,他的眉毛很粗,คิ้วของเขาหนา
鼻,bí,鼻子," bí zǐ ",จมูก,160,小狗的鼻子很灵,จมูกของลูกสุนัขไวมาก
光,guāng,阳光," yáng guāng ",แสงแดด,161,阳光照进教室,แสงแดดส่องเข้ามาในห้องเรียน
星,xīng,星星," xīng xīng ",ดาว,162,夜晚有星星,กลางคืนมีดวงดาว
阳,yáng,阳光," yáng guāng ",แสงอาทิตย์,163,早上有阳光,ตอนเช้ามีแสงแดด
亮,liàng,明亮," míng liàng ",สว่างไสว,164,房间很明亮,ห้องสว่างมาก
今,jīn,今天," jīn tiān ",วันนี้,165,今天我上学,วันนี้ฉันไปโรงเรียน
明,míng,明亮," míng liàng ",สว่างไสว,166,灯让教室明亮,ไฟทำให้ห้องเรียนสว่าง
走,zǒu,走路," zǒu lù ",เดิน,167,我们走路回家,พวกเราเดินกลับบ้าน
兴,xīng,高兴," gāo xīng ",มีความสุข,168,我见到你很高兴,ฉันดีใจมากที่ได้พบคุณ
空,kōng,空气," kōng qì ",อากาศ,169,早上的空气很好,อากาศตอนเช้าดีมาก
两,liǎng,两个," liǎng gè",สองอัน,170,我有两个朋友,ฉันมีเพื่อนสองคน
哭,kū,大哭,"dà kū ",ร้องไห้จ้า,171,孩子摔倒大哭,เด็กหกล้มร้องไห้เสียงดัง
牙,yá,虫牙," chóng yá ",ฟันผุ,172,他有一颗虫牙,เขามีฟันผุหนึ่งซี่
肚,dù,肚子," dù zǐ ",ท้อง,173,我的肚子饿了,ฉันหิวแล้ว
尾,wěi,尾巴," wěi bā ",หาง,174,小狗摇尾巴,ลูกสุนัขส่ายหาง
你,nǐ,你好," nǐ hǎo ",สวัสดี,175,老师你好,สวัสดีคุณครู
脸,liǎn,洗脸," xǐ liǎn ",ล้างหน้า,176,早上要洗脸,ตอนเช้าต้องล้างหน้า
黑,hēi,黑色," hēi sè ",สีดำ,177,猫是黑色的,แมวเป็นสีดำ
半,bàn,一半," yī bàn ",ครึ่งหนึ่ง,178,我吃了一半,ฉันกินไปครึ่งหนึ่ง
呀,yā,哎呀," āi yā ",โอ๊ะ/ว้าย,179,哎呀，我忘记了,โอ้ ฉันลืมไปแล้ว
吗,má,在吗," zài mā",อยู่ไหม,180,你在吗,คุณอยู่ไหม
七,qī,七个," qī gè ",เจ็ดอัน,181,盒子里有七个球,ในกล่องมีลูกบอลเจ็ดลูก
八,bā,八爪鱼," bā zhuǎ yú ",ปลาหมึกยักษ์,182,八爪鱼住在海里,ปลาหมึกแปดขาอาศัยอยู่ในทะเล
九,jiǔ,九月," jiǔ yuè ",เดือนกันยายน,183,九月开始上学,เดือนกันยายนเริ่มเข้าเรียน
十,shí,十个," shí gè ",สิบอัน,184,我有十个手指,ฉันมีนิ้วมือสิบ นิ้ว
又,yòu,又一个," yòu yī gè ",อีกหนึ่งอัน,185,我又一个问题,ฉันมีอีกหนึ่งคำถาม
很,hěn,很长," hěn cháng ",ยาวมาก,186,这条河很长,แม่น้ำสายนี้ยาวมาก
太,tài,太大," tài dà ",ใหญ่มาก,187,这个书包太大,กระเป๋านักเรียนใบนี้ใหญ่เกินไป
宝,bǎo,宝石," bǎo shí ",อัญมณี,188,宝石闪闪发光,อัญมณีเปล่งประกายแวววาว
贝,bèi,贝壳," bèi ké ",เปลือกหอย,189,沙滩上有贝壳,บนชายหาดมีเปลือกหอย
和,hé,和平," hé píng",สันติภาพ,190,世界需要和平,โลกต้องการสันติภาพ
关,guān,关上,"guān shàng ",ปิด,191,请关上门,กรุณาปิดประตู
园,yuán,花园," huā yuán ",สวนดอกไม้,192,花园里有花,ในสวนมีดอกไม้
生,shēng,生长," shēng zhǎng",เติบโต,193,植物慢慢生长,พืชค่อย ๆ เจริญเติบโต
公,gōng,公公," gōng gōng ",คุณตา,194,公公喜欢散步,คุณปู่ชอบเดินเล่น
苗,miáo,树苗," shù miáo ",ต้นกล้า,195,树苗要浇水,ต้นกล้าต้องรดน้ำ
叶,yè,叶子," yè zǐ ",ใบไม้,196,叶子变绿了,ใบไม้เปลี่ยนเป็นสีเขียว
林,lín,树林," shù lín ",ป่าไม้,197,树林里很安静,ในป่าเงียบสงบมาก
草,cǎo,小草," xiǎo cǎo ",ต้นหญ้าเล็ก,198,小草在风中动,หญ้าเล็ก ๆ ไหวตามลม
先,xiān,先后," xiān hòu ",ก่อน-หลัง,199,大家先后进门,ทุกคนเข้าไปในประตูตามลำดับ
岛,dǎo,海岛," hǎi dǎo ",เกาะทะเล,200,海岛在大海中,เกาะอยู่กลางทะเล
